Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-05-13;2018-05-11;Płatność kartą;-4.15;PLN;Lokalizacja:     Top Market
2018-05-13;2018-05-11;Płatność kartą;-13.6;PLN;Lokalizacja:     Asec PKP W-wa Srodmiescie
2018-05-14;2018-05-12;Płatność kartą;-30.17;PLN;Lokalizacja:     TESCO KEN KASA 142
2018-05-14;2018-05-12;Płatność kartą;-30.34;PLN;Lokalizacja:  BRODNICA  JMP S.A. BIEDRONKA 1946
2018-05-14;2018-05-12;Płatność kartą;-95.63;PLN;Lokalizacja:  PIENKOW  BP-KAMYCZEK 271
2018-05-15;2018-05-14;Płatność kartą;-7;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-05-16;2018-05-15;Płatność kartą;-7.5;PLN;Lokalizacja:     McDonalds 464  
2018-05-16;2018-05-15;Płatność kartą;-10;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-05-17;2018-05-16;Płatność kartą;-90.43;PLN;Lokalizacja:     ORLEN 35
2018-05-17;2018-05-15;Płatność kartą;-33.46;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-05-21;2018-05-20;Płatność kartą;-214.85;PLN;Lokalizacja:  Krakow  ORLEN 21
2018-05-23;2018-05-23;Opłata;-4.99;PLN;
2018-05-24;2018-05-23;Płatność kartą;-0.98;PLN;Lokalizacja:  Kruszyna  ORLEN
2018-05-24;2018-05-23;Płatność kartą;-21.28;PLN;Lokalizacja:  Zakopane  Kazimierz Czarny
2018-05-25;2018-05-24;Płatność kartą;-17;PLN;Lokalizacja:  Zakopane  McDonalds 01
2018-05-25;2018-05-23;Płatność kartą;-2.3;PLN;Lokalizacja:     Top Market
2018-05-25;2018-05-23;Płatność kartą;-10.3;PLN;Lokalizacja:  ZAKOPANE  PAMIATKOWO
2018-05-26;2018-05-25;Płatność kartą;-119;PLN;Lokalizacja:  Elk  Giacomo Conti CH Brama
2018-05-28;2018-05-27;Płatność kartą;-106.12;PLN;Lokalizacja:  Elk  ORLEN 01
2018-05-29;2018-05-28;Płatność kartą;-9;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-05-30;2018-05-31;Opłata;-6.9;PLN;
2018-05-30;2018-05-28;Płatność kartą;-4.45;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-05-30;2018-05-28;Płatność kartą;-7.9;PLN;Lokalizacja:     Top Market
2018-05-31;2018-05-30;Płatność kartą;-138;PLN;Lokalizacja:     Leroy Merlin   A
2018-05-31;2018-05-30;Płatność kartą;-4.12;PLN;Lokalizacja:     VITAMARKET
2018-05-31;2018-05-29;Płatność kartą;-21.61;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-01;2018-05-30;Płatność kartą;-23;PLN;Lokalizacja:     FIVE O CLOCK ARKADIA
2018-06-01;2018-05-30;Płatność kartą;-91.5;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-02;2018-06-01;Płatność kartą;-53.99;PLN;Lokalizacja:     ORLENDOFO
2018-06-02;2018-06-01;Płatność kartą;-120.32;PLN;Lokalizacja:     CASTORAMA   TARG
2018-06-02;2018-06-01;Płatność kartą;-13.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-06-04;2018-06-01;Płatność kartą;-4.65;PLN;Lokalizacja:     Top Market
2018-06-04;2018-06-02;Płatność kartą;-56;PLN;Lokalizacja:   AUTO - AGRO
2018-06-05;2018-06-04;Płatność kartą;-13;PLN;Lokalizacja:     McDonalds 444  
2018-06-05;2018-06-04;Płatność kartą;-0.2;PLN;Lokalizacja:     XERODRUK24H 1 SP Z O O
2018-06-06;2018-06-05;Płatność kartą;-6;PLN;Lokalizacja:     McDonalds 464  
2018-06-06;2018-06-05;Płatność kartą;-270;PLN;Lokalizacja:     CAROLINA MEDICAL CEN 03
2018-06-07;2018-06-06;Płatność kartą;-6.4;PLN;Lokalizacja:     VITAMARKET
2018-06-07;2018-06-05;Płatność kartą;-33.98;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-08;2018-06-08;Opłata;-0.7;PLN;
2018-06-08;2018-06-06;Płatność kartą;-6.24;PLN;Lokalizacja:     Top Market
2018-06-08;2018-06-06;Płatność kartą;-12.68;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-09;2018-06-08;Płatność kartą;-314.06;PLN;Lokalizacja:     ORLEN 35
2018-06-09;2018-06-07;Płatność kartą;-37.97;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-09;2018-06-07;Płatność kartą;-7;PLN;Lokalizacja:     AUT BILET 2412070
2018-06-10;2018-06-09;Płatność kartą;-65.97;PLN;Lokalizacja:     IKEA Retail Sp. z o.o.-
2018-06-10;2018-06-09;Płatność kartą;-46.7;PLN;Lokalizacja:     DOMINIUM Dostawy
2018-06-10;2018-06-09;Płatność kartą;-12.15;PLN;Lokalizacja:     Apteka REMEDIUM 01
2018-06-10;2018-06-08;Płatność kartą;-1.95;PLN;Lokalizacja:  JOZEFOSLAW  SUPERMARKET PIOTR I PA
2018-06-10;2018-06-08;Płatność kartą;-6.8;PLN;Lokalizacja:     MPSA - A 312
